participant,item,condition,slider.response,my_rs,total_residuals,unique_item_no,trials.thisN,session,half,literacy,age_textbox.text,gender_slider.response,difference
39,17,C_exp2,0.05092592592592593,0.472727272727273,89.16,67,13,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.42180134680134707
39,31,C_exp2,0.07222222222222224,0.711363636363636,70.76,123,14,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.6391414141414138
39,22,C_exp2,0.0314814814814815,0.557954545454545,83.86,87,15,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.5264730639730635
39,18,C_exp2,0.10555555555555556,0.489772727272727,88.21,71,16,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.38421717171717146
39,43,C_exp2,0.6916666666666667,0.915909090909091,40.18,171,17,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.22424242424242435
39,9,C_exp2,0.1962962962962963,0.336363636363636,95.17,35,18,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.14006734006733967
39,19,B_exp2,0.30462962962962964,0.506818181818182,87.29,74,19,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.2021885521885523
39,26,A_exp2,0.5722222222222222,0.626136363636364,78.63,101,20,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.05391414141414186
39,3,A_exp2,0.08240740740740743,0.234090909090909,97.85,9,21,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.15168350168350156
39,13,D_exp2,0.4685185185185185,0.404545454545455,92.49,52,22,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.06397306397306352
39,19,A_exp2,0.19814814814814813,0.506818181818182,87.29,73,23,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3086700336700338
39,21,A_exp2,0.18981481481481485,0.540909090909091,85.06,81,24,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3510942760942761
39,37,B_exp2,0.7962962962962963,0.813636363636363,58.43,146,25,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.017340067340066767
39,41,D_exp2,0.9111111111111112,0.881818181818182,47.24,164,26,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.02929292929292926
39,38,D_exp2,0.7435185185185185,0.830681818181818,55.96,152,27,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.0871632996632995
39,8,C_exp2,0.18333333333333335,0.319318181818182,95.69,31,28,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.13598484848484865
39,32,C_exp2,0.23425925925925928,0.728409090909091,68.93,127,30,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.49414983164983173
39,4,C_exp2,0.09259259259259262,0.251136363636364,97.45,15,31,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.15854377104377138
39,6,D_exp2,0.2462962962962963,0.285227272727273,96.65,24,32,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.038930976430976705
39,6,A_exp2,0.04907407407407405,0.285227272727273,96.65,21,33,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.23615319865319895
39,41,A_exp2,0.700925925925926,0.881818181818182,47.24,161,35,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.180892255892256
39,9,A_exp2,0.09259259259259262,0.336363636363636,95.17,33,36,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.24377104377104336
39,14,D_exp2,0.312962962962963,0.421590909090909,91.77,56,37,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.10862794612794602
39,30,A_exp2,0.5583333333333333,0.694318181818182,72.45,117,38,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.1359848484848486
39,10,D_exp2,0.3037037037037037,0.353409090909091,94.56,40,39,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.04970538720538731
39,25,B_exp2,0.5768518518518518,0.609090909090909,80.05,98,40,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.03223905723905718
39,2,D_exp2,0.3388888888888889,0.217045454545455,98.2,8,41,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.12184343434343389
39,20,A_exp2,0.1564814814814815,0.523863636363636,86.18,77,42,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3673821548821545
39,2,C_exp2,0.21203703703703705,0.217045454545455,98.2,7,43,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.005008417508417962
39,22,B_exp2,0.6490740740740741,0.557954545454545,83.86,86,44,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.0911195286195291
39,25,A_exp2,0.5916666666666667,0.609090909090909,80.05,97,45,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.017424242424242342
39,33,C_exp2,0.7416666666666667,0.745454545454545,67.07,131,46,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.0037878787878783404
39,8,A_exp2,0.137037037037037,0.319318181818182,95.69,29,47,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.182281144781145
39,14,A_exp2,0.2277777777777778,0.421590909090909,91.77,53,48,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.19381313131313122
39,7,D_exp2,0.3666666666666667,0.302272727272727,96.21,28,49,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.06439393939393967
39,35,B_exp2,0.7574074074074074,0.779545454545455,62.96,138,50,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.022138047138047567
39,20,C_exp2,0.41388888888888886,0.523863636363636,86.18,79,51,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.10997474747474711
39,13,A_exp2,0.04722222222222222,0.404545454545455,92.49,49,52,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.35732323232323276
39,34,A_exp2,0.7388888888888889,0.7625,65.09,133,53,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.023611111111111027
39,44,A_exp2,0.9833333333333334,0.932954545454545,36.02,173,54,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.050378787878788356
39,40,D_exp2,0.9175925925925924,0.864772727272727,50.34,160,55,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.05281986531986538
39,38,A_exp2,0.8555555555555556,0.830681818181818,55.96,149,56,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.02487373737373766
39,5,A_exp2,0.04166666666666668,0.268181818181818,97.09,17,57,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.22651515151515134
39,33,D_exp2,0.6527777777777778,0.745454545454545,67.07,132,58,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.09267676767676725
39,1,A_exp2,0.04629629629629628,0.2,98.47,1,59,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.15370370370370373
39,18,A_exp2,0.01851851851851854,0.489772727272727,88.21,69,60,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.4712542087542085
39,39,C_exp2,0.7185185185185186,0.847727272727273,53.22,155,61,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.12920875420875444
39,3,D_exp2,0.18425925925925923,0.234090909090909,97.85,12,62,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.049831649831649755
39,42,D_exp2,0.9472222222222222,0.898863636363636,43.85,168,63,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.04835858585858621
39,37,D_exp2,0.7925925925925925,0.813636363636363,58.43,148,64,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.02104377104377053
39,11,C_exp2,0.05648148148148146,0.370454545454545,93.87,43,65,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3139730639730635
39,37,A_exp2,0.7731481481481481,0.813636363636363,58.43,145,66,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.04048821548821491
39,26,B_exp2,0.3657407407407407,0.626136363636364,78.63,102,68,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.26039562289562335
39,26,D_exp2,0.2685185185185185,0.626136363636364,78.63,104,69,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.35761784511784556
39,33,B_exp2,0.7574074074074074,0.745454545454545,67.07,130,70,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.011952861952862381
39,11,A_exp2,0.02407407407407408,0.370454545454545,93.87,41,71,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3463804713804709
39,36,B_exp2,0.7537037037037038,0.796590909090909,60.8,142,72,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.04288720538720525
39,10,A_exp2,0.12592592592592594,0.353409090909091,94.56,37,73,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.22748316498316506
39,22,D_exp2,0.5555555555555556,0.557954545454545,83.86,88,74,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.0023989898989894565
39,42,C_exp2,0.8805555555555555,0.898863636363636,43.85,167,75,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.01830808080808044
39,38,B_exp2,0.8277777777777777,0.830681818181818,55.96,150,76,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.0029040404040402423
39,29,C_exp2,0.5055555555555555,0.677272727272727,74.03,115,77,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.1717171717171715
39,36,A_exp2,0.7472222222222222,0.796590909090909,60.8,141,78,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.049368686868686784
39,20,B_exp2,0.3287037037037037,0.523863636363636,86.18,78,79,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.19515993265993226
39,8,D_exp2,0.16296296296296298,0.319318181818182,95.69,32,80,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.15635521885521902
39,31,D_exp2,0.712037037037037,0.711363636363636,70.76,124,81,62e3e2c63dde4a27a4c8309b,First,23,25,F,-6.734006734010478e-4
39,14,C_exp2,0.0222222222222222,0.421590909090909,91.77,55,82,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3993686868686868
39,23,B_exp2,0.24351851851851852,0.575,82.61,90,83,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.33148148148148143
39,35,C_exp2,0.7305555555555556,0.779545454545455,62.96,139,84,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.04898989898989936
39,27,C_exp2,0.575925925925926,0.643181818181818,77.13,107,85,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.06725589225589201
39,10,C_exp2,0.07314814814814813,0.353409090909091,94.56,39,86,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.2802609427609429
39,24,D_exp2,0.4888888888888889,0.592045454545455,81.33,96,87,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.10315656565656611
39,23,C_exp2,0.23055555555555557,0.575,82.61,91,88,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3444444444444444
39,16,C_exp2,0.29907407407407405,0.455681818181818,90.06,63,89,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.15660774410774397
39,21,C_exp2,0.26203703703703707,0.540909090909091,85.06,83,90,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.27887205387205394
39,38,C_exp2,0.7953703703703704,0.830681818181818,55.96,151,91,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.03531144781144757
39,9,B_exp2,0.14074074074074072,0.336363636363636,95.17,34,92,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.19562289562289525
39,12,B_exp2,0.5037037037037037,0.3875,93.21,46,93,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.11620370370370364
39,43,D_exp2,0.9712962962962964,0.915909090909091,40.18,172,94,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.05538720538720543
39,27,B_exp2,0.28888888888888886,0.643181818181818,77.13,106,95,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.3542929292929291
39,5,D_exp2,0.6685185185185185,0.268181818181818,97.09,20,96,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.4003367003367005
39,29,B_exp2,0.762962962962963,0.677272727272727,74.03,114,97,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.08569023569023593
39,6,B_exp2,0.2324074074074074,0.285227272727273,96.65,22,98,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.0528198653198656
39,28,D_exp2,0.5157407407407407,0.660227272727273,75.63,112,99,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.14448653198653227
39,5,B_exp2,0.2444444444444445,0.268181818181818,97.09,18,100,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.02373737373737353
39,7,B_exp2,0.2796296296296296,0.302272727272727,96.21,26,101,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.02264309764309741
39,28,A_exp2,0.4962962962962963,0.660227272727273,75.63,109,102,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.1639309764309767
39,35,A_exp2,0.7388888888888889,0.779545454545455,62.96,137,103,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.04065656565656606
39,16,B_exp2,0.2462962962962963,0.455681818181818,90.06,62,104,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.20938552188552173
39,31,B_exp2,0.7194444444444444,0.711363636363636,70.76,122,105,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.008080808080808466
39,6,C_exp2,0.2462962962962963,0.285227272727273,96.65,23,106,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.038930976430976705
39,41,C_exp2,0.9564814814814816,0.881818181818182,47.24,163,107,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.07466329966329965
39,45,D_exp2,0.976851851851852,0.95,31.29,180,108,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.026851851851852016
39,27,D_exp2,0.5101851851851852,0.643181818181818,77.13,108,109,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.13299663299663278
39,12,A_exp2,0.07500000000000001,0.3875,93.21,45,110,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.3125
39,30,B_exp2,0.7518518518518518,0.694318181818182,72.45,118,111,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.057533670033669826
39,23,D_exp2,0.3657407407407407,0.575,82.61,92,112,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.20925925925925926
39,8,B_exp2,0.11666666666666664,0.319318181818182,95.69,30,113,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.20265151515151536
39,14,B_exp2,0.06666666666666665,0.421590909090909,91.77,54,114,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.35492424242424236
39,3,C_exp2,0.17407407407407405,0.234090909090909,97.85,11,116,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.06001683501683494
39,11,D_exp2,0.48703703703703705,0.370454545454545,93.87,44,117,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.11658249158249206
39,2,B_exp2,0.2222222222222222,0.217045454545455,98.2,6,118,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.005176767676767197
39,25,D_exp2,0.49166666666666664,0.609090909090909,80.05,100,119,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.11742424242424238
39,24,B_exp2,0.5194444444444445,0.592045454545455,81.33,94,120,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.0726010101010105
39,36,D_exp2,0.8407407407407408,0.796590909090909,60.8,144,121,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.04414983164983177
39,5,C_exp2,0.03333333333333332,0.268181818181818,97.09,19,122,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.2348484848484847
39,23,A_exp2,0.4898148148148148,0.575,82.61,89,123,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.08518518518518514
39,7,A_exp2,0.03333333333333332,0.302272727272727,96.21,25,124,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.2689393939393937
39,32,D_exp2,0.7962962962962963,0.728409090909091,68.93,128,125,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.06788720538720527
39,42,A_exp2,0.9601851851851853,0.898863636363636,43.85,165,126,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.06132154882154928
39,24,C_exp2,0.13611111111111113,0.592045454545455,81.33,95,127,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.45593434343434386
39,39,D_exp2,0.8509259259259259,0.847727272727273,53.22,156,128,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.0031986531986528677
39,34,C_exp2,0.7037037037037037,0.7625,65.09,135,129,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.058796296296296235
39,13,C_exp2,0.09629629629629628,0.404545454545455,92.49,51,130,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.3082491582491587
39,45,A_exp2,1,0.95,31.29,177,131,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.050000000000000044
39,29,A_exp2,0.6435185185185185,0.677272727272727,74.03,113,132,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.03375420875420854
39,44,C_exp2,0.9407407407407408,0.932954545454545,36.02,175,133,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.0077861952861957295
39,21,D_exp2,0.5064814814814815,0.540909090909091,85.06,84,134,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.034427609427609474
39,1,D_exp2,0.2,0.2,98.47,4,135,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0
39,32,B_exp2,0.6305555555555555,0.728409090909091,68.93,126,136,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.09785353535353547
39,42,B_exp2,0.9064814814814814,0.898863636363636,43.85,166,137,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.007617845117845468
39,40,C_exp2,0.7101851851851853,0.864772727272727,50.34,159,138,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.15458754208754177
39,1,C_exp2,0.18518518518518515,0.2,98.47,3,139,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.014814814814814864
39,16,A_exp2,0.26944444444444443,0.455681818181818,90.06,61,140,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.1862373737373736
39,43,B_exp2,0.9388888888888888,0.915909090909091,40.18,170,142,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.022979797979797767
39,30,D_exp2,0.549074074074074,0.694318181818182,72.45,120,143,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.1452441077441079
39,44,D_exp2,0.9824074074074074,0.932954545454545,36.02,176,144,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.04945286195286236
39,35,D_exp2,0.7351851851851852,0.779545454545455,62.96,140,145,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.04436026936026982
39,31,A_exp2,0.6092592592592593,0.711363636363636,70.76,121,146,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.1021043771043767
39,9,D_exp2,0.30833333333333335,0.336363636363636,95.17,36,147,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.028030303030302628
39,29,D_exp2,0.49722222222222223,0.677272727272727,74.03,116,148,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.1800505050505048
39,22,A_exp2,0.4453703703703704,0.557954545454545,83.86,85,149,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.11258417508417462
39,18,B_exp2,0.26203703703703707,0.489772727272727,88.21,70,150,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.22773569023568996
39,10,B_exp2,0.1472222222222222,0.353409090909091,94.56,38,151,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.2061868686868688
39,11,B_exp2,0.0314814814814815,0.370454545454545,93.87,42,152,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.3389730639730635
39,4,A_exp2,0.0259259259259259,0.251136363636364,97.45,13,153,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.22521043771043808
39,45,C_exp2,1,0.95,31.29,179,154,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.050000000000000044
39,12,D_exp2,0.11203703703703705,0.3875,93.21,48,155,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.27546296296296297
39,13,B_exp2,0.00925925925925924,0.404545454545455,92.49,50,156,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.39528619528619574
39,4,B_exp2,0.137037037037037,0.251136363636364,97.45,14,157,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.11409932659932698
39,7,C_exp2,0.01296296296296295,0.302272727272727,96.21,27,158,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.2893097643097641
39,4,D_exp2,0.15185185185185185,0.251136363636364,97.45,16,159,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.09928451178451214
39,40,A_exp2,0.8212962962962963,0.864772727272727,50.34,157,160,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.043476430976430724
39,16,D_exp2,0.19166666666666665,0.455681818181818,90.06,64,161,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.26401515151515137
39,40,B_exp2,0.825925925925926,0.864772727272727,50.34,158,162,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.038846801346801074
39,39,A_exp2,0.887962962962963,0.847727272727273,53.22,153,163,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.04023569023568996
39,2,A_exp2,0.03240740740740738,0.217045454545455,98.2,5,164,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.18463804713804763
39,26,C_exp2,0.13981481481481484,0.626136363636364,78.63,103,165,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.4863215488215492
39,15,A_exp2,0.04074074074074074,0.438636363636364,90.98,57,166,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.39789562289562325
39,34,D_exp2,0.6212962962962962,0.7625,65.09,136,167,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.14120370370370372
39,45,B_exp2,0.9851851851851852,0.95,31.29,178,168,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.03518518518518521
39,17,B_exp2,0.21203703703703705,0.472727272727273,89.16,66,170,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.26069023569023597
39,25,C_exp2,0.4425925925925926,0.609090909090909,80.05,99,171,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.16649831649831642
39,18,D_exp2,0.27314814814814814,0.489772727272727,88.21,72,172,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.2166245791245789
39,24,A_exp2,0.5268518518518519,0.592045454545455,81.33,93,173,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.06519360269360308
39,28,C_exp2,0.4685185185185185,0.660227272727273,75.63,111,174,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.1917087542087545
39,33,A_exp2,0.6157407407407407,0.745454545454545,67.07,129,175,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.12971380471380434
39,37,C_exp2,0.7546296296296297,0.813636363636363,58.43,147,176,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.0590067340067334
39,19,C_exp2,0.2833333333333333,0.506818181818182,87.29,75,177,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.22348484848484862
39,27,A_exp2,0.5222222222222223,0.643181818181818,77.13,105,178,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.12095959595959571
39,15,B_exp2,0.30833333333333335,0.438636363636364,90.98,58,179,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.13030303030303064
39,32,A_exp2,0.7842592592592592,0.728409090909091,68.93,125,180,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.055850168350168206
39,19,D_exp2,0.2796296296296296,0.506818181818182,87.29,76,181,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.22718855218855233
39,39,B_exp2,0.8490740740740741,0.847727272727273,53.22,154,182,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.0013468013468010964
39,41,B_exp2,0.8814814814814815,0.881818181818182,47.24,162,183,62e3e2c63dde4a27a4c8309b,Second,23,25,F,3.367003367004129e-4
39,3,B_exp2,0.15462962962962962,0.234090909090909,97.85,10,184,62e3e2c63dde4a27a4c8309b,Second,23,25,F,0.07946127946127937
39,43,A_exp2,0.950925925925926,0.915909090909091,40.18,169,185,62e3e2c63dde4a27a4c8309b,Second,23,25,F,-0.035016835016834946
92,26,B_exp2,0.17129629629629628,0.626136363636364,78.63,102,0,62e3e279a59d6dea46d86b42,First,23,21,M,0.45484006734006777
92,32,D_exp2,0.237962962962963,0.728409090909091,68.93,128,1,62e3e279a59d6dea46d86b42,First,23,21,M,0.490446127946128
92,11,D_exp2,0.10555555555555556,0.370454545454545,93.87,44,2,62e3e279a59d6dea46d86b42,First,23,21,M,0.2648989898989894
92,23,D_exp2,0.15462962962962962,0.575,82.61,92,3,62e3e279a59d6dea46d86b42,First,23,21,M,0.42037037037037034
92,5,C_exp2,0.08148148148148149,0.268181818181818,97.09,19,4,62e3e279a59d6dea46d86b42,First,23,21,M,0.18670033670033653
92,37,D_exp2,0.7481481481481481,0.813636363636363,58.43,148,5,62e3e279a59d6dea46d86b42,First,23,21,M,0.06548821548821493
92,21,D_exp2,0.24351851851851852,0.540909090909091,85.06,84,6,62e3e279a59d6dea46d86b42,First,23,21,M,0.2973905723905725
92,40,B_exp2,0.8861111111111111,0.864772727272727,50.34,158,7,62e3e279a59d6dea46d86b42,First,23,21,M,-0.021338383838384045
92,5,A_exp2,0.0851851851851852,0.268181818181818,97.09,17,8,62e3e279a59d6dea46d86b42,First,23,21,M,0.18299663299663282
92,12,D_exp2,0.1111111111111111,0.3875,93.21,48,9,62e3e279a59d6dea46d86b42,First,23,21,M,0.2763888888888889
92,45,D_exp2,0.9833333333333334,0.95,31.29,180,10,62e3e279a59d6dea46d86b42,First,23,21,M,-0.03333333333333344
92,40,D_exp2,0.75,0.864772727272727,50.34,160,11,62e3e279a59d6dea46d86b42,First,23,21,M,0.11477272727272703
92,15,B_exp2,0.12962962962962965,0.438636363636364,90.98,58,12,62e3e279a59d6dea46d86b42,First,23,21,M,0.30900673400673434
92,1,B_exp2,0.06388888888888888,0.2,98.47,2,14,62e3e279a59d6dea46d86b42,First,23,21,M,0.13611111111111113
92,14,C_exp2,0.06018518518518517,0.421590909090909,91.77,55,15,62e3e279a59d6dea46d86b42,First,23,21,M,0.36140572390572384
