participant,item,condition,slider.response,my_rs,total_residuals,unique_item_no,session,trials.thisN,half,literacy,age_textbox.text,gender_slider.response,dot_pitch,res_width,VT_no_correct,difference
6,31,B_exp3,0.725925954,0.738636364,67.86,122,640f3ac4224f3464655763ad,93,Second,15,25,F,0.339328125,1280,6,0.01271040999999995
6,21,C_exp3,0.076851866,0.559090909,83.77,83,640f3ac4224f3464655763ad,94,Second,15,25,F,0.339328125,1280,6,0.48223904300000003
6,28,B_exp3,0.583333333,0.684772727,73.36,110,640f3ac4224f3464655763ad,95,Second,15,25,F,0.339328125,1280,6,0.10143939400000002
6,18,B_exp3,0.440740797,0.505227273,87.36,70,640f3ac4224f3464655763ad,96,Second,15,25,F,0.339328125,1280,6,0.06448647600000001
6,23,C_exp3,0.440740797,0.595,81.13,91,640f3ac4224f3464655763ad,97,Second,15,25,F,0.339328125,1280,6,0.15425920299999996
6,44,D_exp3,0.912963019,0.972045455,23.65,176,640f3ac4224f3464655763ad,98,Second,15,25,F,0.339328125,1280,6,0.05908243599999996
6,20,C_exp3,0.025,0.541136364,85.04,79,640f3ac4224f3464655763ad,99,Second,15,25,F,0.339328125,1280,6,0.516136364
6,28,A_exp3,0.828703732,0.684772727,73.36,109,640f3ac4224f3464655763ad,100,Second,15,25,F,0.339328125,1280,6,-0.143931005
6,23,D_exp3,0.139814843,0.595,81.13,92,640f3ac4224f3464655763ad,101,Second,15,25,F,0.339328125,1280,6,0.45518515699999995
6,39,B_exp3,0.832407464,0.882272727,47.19,154,640f3ac4224f3464655763ad,102,Second,15,25,F,0.339328125,1280,6,0.04986526300000005
6,29,A_exp3,0.872222222,0.702727273,71.6,113,640f3ac4224f3464655763ad,103,Second,15,25,F,0.339328125,1280,6,-0.16949494899999995
6,16,A_exp3,0.323148176,0.469318182,89.4,61,640f3ac4224f3464655763ad,104,Second,15,25,F,0.339328125,1280,6,0.14617000599999996
6,30,C_exp3,0.112037065,0.720681818,69.76,119,640f3ac4224f3464655763ad,105,Second,15,25,F,0.339328125,1280,6,0.608644753
6,16,B_exp3,0.166666667,0.469318182,89.4,62,640f3ac4224f3464655763ad,106,Second,15,25,F,0.339328125,1280,6,0.302651515
6,33,D_exp3,0.276851866,0.774545455,63.57,132,640f3ac4224f3464655763ad,107,Second,15,25,F,0.339328125,1280,6,0.49769358900000005
6,35,C_exp3,0.625925954,0.810454545,58.87,139,640f3ac4224f3464655763ad,108,Second,15,25,F,0.339328125,1280,6,0.18452859100000008
6,17,A_exp3,0.465740797,0.487272727,88.33,65,640f3ac4224f3464655763ad,109,Second,15,25,F,0.339328125,1280,6,0.021531930000000032
6,17,C_exp3,0.099074088,0.487272727,88.33,67,640f3ac4224f3464655763ad,110,Second,15,25,F,0.339328125,1280,6,0.388198639
6,37,A_exp3,0.801851908,0.846363636,53.4,145,640f3ac4224f3464655763ad,111,Second,15,25,F,0.339328125,1280,6,0.04451172800000003
6,15,C_exp3,0.190740755,0.451363636,90.29,59,640f3ac4224f3464655763ad,112,Second,15,25,F,0.339328125,1280,6,0.260622881
6,19,A_exp3,0.474074131,0.523181818,86.21,73,640f3ac4224f3464655763ad,113,Second,15,25,F,0.339328125,1280,6,0.049107686999999955
6,41,A_exp3,0.941666667,0.918181818,39.66,161,640f3ac4224f3464655763ad,114,Second,15,25,F,0.339328125,1280,6,-0.02348484900000003
6,33,C_exp3,0.541666667,0.774545455,63.57,131,640f3ac4224f3464655763ad,115,Second,15,25,F,0.339328125,1280,6,0.23287878800000006
6,27,D_exp3,0.261111111,0.666818182,75.05,108,640f3ac4224f3464655763ad,117,Second,15,25,F,0.339328125,1280,6,0.405707071
6,8,C_exp3,0.148148176,0.325681818,95.52,31,640f3ac4224f3464655763ad,118,Second,15,25,F,0.339328125,1280,6,0.17753364200000002
6,29,C_exp3,0.148148176,0.702727273,71.6,115,640f3ac4224f3464655763ad,119,Second,15,25,F,0.339328125,1280,6,0.5545790970000001
6,7,A_exp3,0.148148176,0.307727273,96.03,25,640f3ac4224f3464655763ad,120,Second,15,25,F,0.339328125,1280,6,0.15957909700000003
6,42,D_exp3,0.773148176,0.936136364,35.25,168,640f3ac4224f3464655763ad,121,Second,15,25,F,0.339328125,1280,6,0.16298818800000003
6,6,D_exp3,0.009259288,0.289772727,96.58,24,640f3ac4224f3464655763ad,123,Second,15,25,F,0.339328125,1280,6,0.28051343900000003
6,33,A_exp3,0.675,0.774545455,63.57,129,640f3ac4224f3464655763ad,124,Second,15,25,F,0.339328125,1280,6,0.099545455
6,38,C_exp3,0.555555556,0.864318182,50.47,151,640f3ac4224f3464655763ad,125,Second,15,25,F,0.339328125,1280,6,0.30876262600000004
6,3,C_exp3,0.045370399,0.235909091,97.87,11,640f3ac4224f3464655763ad,126,Second,15,25,F,0.339328125,1280,6,0.19053869199999998
6,10,C_exp3,0.053703732,0.361590909,94.23,39,640f3ac4224f3464655763ad,127,Second,15,25,F,0.339328125,1280,6,0.307887177
6,36,B_exp3,0.697222222,0.828409091,56.22,142,640f3ac4224f3464655763ad,128,Second,15,25,F,0.339328125,1280,6,0.1311868690000001
6,14,A_exp3,0.552777778,0.433409091,91.2,53,640f3ac4224f3464655763ad,129,Second,15,25,F,0.339328125,1280,6,-0.11936868700000003
6,38,D_exp3,0.627777778,0.864318182,50.47,152,640f3ac4224f3464655763ad,130,Second,15,25,F,0.339328125,1280,6,0.23654040399999998
6,25,A_exp3,0.687963019,0.630909091,78.2,97,640f3ac4224f3464655763ad,131,Second,15,25,F,0.339328125,1280,6,-0.057053927999999976
6,1,A_exp3,0.02129631,0.2,98.47,1,640f3ac4224f3464655763ad,132,Second,15,25,F,0.339328125,1280,6,0.17870369000000003
6,6,C_exp3,0.02129631,0.289772727,96.58,23,640f3ac4224f3464655763ad,133,Second,15,25,F,0.339328125,1280,6,0.268476417
6,26,C_exp3,0.323148176,0.648863636,76.62,103,640f3ac4224f3464655763ad,134,Second,15,25,F,0.339328125,1280,6,0.32571545999999996
6,3,D_exp3,0.176851866,0.235909091,97.87,12,640f3ac4224f3464655763ad,135,Second,15,25,F,0.339328125,1280,6,0.05905722499999999
6,32,D_exp3,0.633333333,0.756590909,65.73,128,640f3ac4224f3464655763ad,136,Second,15,25,F,0.339328125,1280,6,0.12325757599999998
6,39,C_exp3,0.744444444,0.882272727,47.19,155,640f3ac4224f3464655763ad,137,Second,15,25,F,0.339328125,1280,6,0.13782828300000005
6,21,B_exp3,0.487037065,0.559090909,83.77,82,640f3ac4224f3464655763ad,138,Second,15,25,F,0.339328125,1280,6,0.07205384400000003
6,12,A_exp3,0.310185199,0.3975,92.82,45,640f3ac4224f3464655763ad,139,Second,15,25,F,0.339328125,1280,6,0.087314801
6,25,D_exp3,0.310185199,0.630909091,78.2,100,640f3ac4224f3464655763ad,141,Second,15,25,F,0.339328125,1280,6,0.320723892
6,2,C_exp3,0.111111111,0.217954545,98.2,7,640f3ac4224f3464655763ad,142,Second,15,25,F,0.339328125,1280,6,0.106843434
6,4,C_exp3,0.111111111,0.253863636,97.45,15,640f3ac4224f3464655763ad,143,Second,15,25,F,0.339328125,1280,6,0.14275252500000002
6,24,B_exp3,0.285185199,0.612954545,79.66,94,640f3ac4224f3464655763ad,144,Second,15,25,F,0.339328125,1280,6,0.327769346
6,19,D_exp3,0.235185199,0.523181818,86.21,76,640f3ac4224f3464655763ad,145,Second,15,25,F,0.339328125,1280,6,0.28799661899999995
6,13,C_exp3,0.140740755,0.415454545,91.98,51,640f3ac4224f3464655763ad,146,Second,15,25,F,0.339328125,1280,6,0.27471379
6,24,A_exp3,0.275925954,0.612954545,79.66,93,640f3ac4224f3464655763ad,147,Second,15,25,F,0.339328125,1280,6,0.33702859100000004
6,38,B_exp3,0.773148176,0.864318182,50.47,150,640f3ac4224f3464655763ad,148,Second,15,25,F,0.339328125,1280,6,0.09117000600000003
6,35,A_exp3,0.742592621,0.810454545,58.87,137,640f3ac4224f3464655763ad,149,Second,15,25,F,0.339328125,1280,6,0.06786192400000002
6,13,B_exp3,0.55,0.415454545,91.98,50,640f3ac4224f3464655763ad,150,Second,15,25,F,0.339328125,1280,6,-0.13454545500000004
6,15,D_exp3,0.057407422,0.451363636,90.29,60,640f3ac4224f3464655763ad,151,Second,15,25,F,0.339328125,1280,6,0.393956214
6,15,A_exp3,0.472222222,0.451363636,90.29,57,640f3ac4224f3464655763ad,152,Second,15,25,F,0.339328125,1280,6,-0.020858586000000012
6,1,D_exp3,0.175,0.2,98.47,4,640f3ac4224f3464655763ad,153,Second,15,25,F,0.339328125,1280,6,0.025000000000000022
6,19,C_exp3,0.228703732,0.523181818,86.21,75,640f3ac4224f3464655763ad,154,Second,15,25,F,0.339328125,1280,6,0.29447808599999997
6,9,B_exp3,0.330555556,0.343636364,94.9,34,640f3ac4224f3464655763ad,155,Second,15,25,F,0.339328125,1280,6,0.013080808000000055
6,38,A_exp3,0.75648151,0.864318182,50.47,149,640f3ac4224f3464655763ad,156,Second,15,25,F,0.339328125,1280,6,0.10783667200000002
6,41,B_exp3,0.967592621,0.918181818,39.66,162,640f3ac4224f3464655763ad,157,Second,15,25,F,0.339328125,1280,6,-0.049410803
6,33,B_exp3,0.766666667,0.774545455,63.57,130,640f3ac4224f3464655763ad,158,Second,15,25,F,0.339328125,1280,6,0.007878788000000081
6,34,B_exp3,0.637963019,0.7925,61.29,134,640f3ac4224f3464655763ad,159,Second,15,25,F,0.339328125,1280,6,0.15453698100000002
6,22,B_exp3,0.564814843,0.577045455,82.45,86,640f3ac4224f3464655763ad,160,Second,15,25,F,0.339328125,1280,6,0.012230612000000085
6,8,B_exp3,0.319444444,0.325681818,95.52,30,640f3ac4224f3464655763ad,161,Second,15,25,F,0.339328125,1280,6,0.006237374000000018
6,10,B_exp3,0.434259288,0.361590909,94.23,38,640f3ac4224f3464655763ad,162,Second,15,25,F,0.339328125,1280,6,-0.072668379
6,32,B_exp3,0.6,0.756590909,65.73,126,640f3ac4224f3464655763ad,163,Second,15,25,F,0.339328125,1280,6,0.15659090900000006
6,7,D_exp3,0.097222222,0.307727273,96.03,28,640f3ac4224f3464655763ad,164,Second,15,25,F,0.339328125,1280,6,0.21050505100000003
6,12,D_exp3,0.009259288,0.3975,92.82,48,640f3ac4224f3464655763ad,165,Second,15,25,F,0.339328125,1280,6,0.38824071200000004
6,44,B_exp3,0.972222222,0.972045455,23.65,174,640f3ac4224f3464655763ad,166,Second,15,25,F,0.339328125,1280,6,-1.767670000000221e-4
6,5,C_exp3,0.168518533,0.271818182,96.99,19,640f3ac4224f3464655763ad,167,Second,15,25,F,0.339328125,1280,6,0.10329964900000002
6,25,B_exp3,0.370370399,0.630909091,78.2,98,640f3ac4224f3464655763ad,168,Second,15,25,F,0.339328125,1280,6,0.260538692
6,22,D_exp3,0.036111111,0.577045455,82.45,88,640f3ac4224f3464655763ad,169,Second,15,25,F,0.339328125,1280,6,0.5409343440000001
6,26,D_exp3,0.202777778,0.648863636,76.62,104,640f3ac4224f3464655763ad,170,Second,15,25,F,0.339328125,1280,6,0.446085858
6,43,A_exp3,0.930555556,0.954090909,30.04,169,640f3ac4224f3464655763ad,171,Second,15,25,F,0.339328125,1280,6,0.023535353000000092
6,8,D_exp3,0.098148176,0.325681818,95.52,32,640f3ac4224f3464655763ad,172,Second,15,25,F,0.339328125,1280,6,0.227533642
6,6,A_exp3,0.20648151,0.289772727,96.58,21,640f3ac4224f3464655763ad,173,Second,15,25,F,0.339328125,1280,6,0.083291217
6,37,B_exp3,0.612963019,0.846363636,53.4,146,640f3ac4224f3464655763ad,174,Second,15,25,F,0.339328125,1280,6,0.23340061699999992
6,39,A_exp3,0.9,0.882272727,47.19,153,640f3ac4224f3464655763ad,175,Second,15,25,F,0.339328125,1280,6,-0.017727272999999988
6,32,C_exp3,0.571296353,0.756590909,65.73,127,640f3ac4224f3464655763ad,176,Second,15,25,F,0.339328125,1280,6,0.185294556
6,10,D_exp3,0.091666667,0.361590909,94.23,40,640f3ac4224f3464655763ad,177,Second,15,25,F,0.339328125,1280,6,0.26992424200000004
6,34,D_exp3,0.405555556,0.7925,61.29,136,640f3ac4224f3464655763ad,178,Second,15,25,F,0.339328125,1280,6,0.386944444
6,7,B_exp3,0.027777778,0.307727273,96.03,26,640f3ac4224f3464655763ad,179,Second,15,25,F,0.339328125,1280,6,0.27994949500000005
6,18,A_exp3,0.152777778,0.505227273,87.36,69,640f3ac4224f3464655763ad,180,Second,15,25,F,0.339328125,1280,6,0.352449495
6,20,B_exp3,0.258333333,0.541136364,85.04,78,640f3ac4224f3464655763ad,181,Second,15,25,F,0.339328125,1280,6,0.282803031
6,4,A_exp3,0.258333333,0.253863636,97.45,13,640f3ac4224f3464655763ad,182,Second,15,25,F,0.339328125,1280,6,-0.004469696999999995
6,44,C_exp3,0.662963019,0.972045455,23.65,175,640f3ac4224f3464655763ad,183,Second,15,25,F,0.339328125,1280,6,0.30908243599999996
6,40,C_exp3,0.570370399,0.900227273,43.56,159,640f3ac4224f3464655763ad,184,Second,15,25,F,0.339328125,1280,6,0.3298568740000001
6,18,C_exp3,0.444444444,0.505227273,87.36,71,640f3ac4224f3464655763ad,185,Second,15,25,F,0.339328125,1280,6,0.06078282900000004
77,9,B_exp3,0.200270047,0.343636364,94.9,34,640f3af66933ce127cd5cce9,0,First,29,22,F,0.35101388888888885,1440,6,0.14336631700000002
77,20,D_exp3,0.167821757,0.541136364,85.04,80,640f3af66933ce127cd5cce9,1,First,29,22,F,0.35101388888888885,1440,6,0.37331460699999996
77,8,D_exp3,0.067269084,0.325681818,95.52,32,640f3af66933ce127cd5cce9,2,First,29,22,F,0.35101388888888885,1440,6,0.258412734
77,4,A_exp3,0.163059828,0.253863636,97.45,13,640f3af66933ce127cd5cce9,3,First,29,22,F,0.35101388888888885,1440,6,0.09080380800000001
77,36,C_exp3,0.64182095,0.828409091,56.22,143,640f3af66933ce127cd5cce9,4,First,29,22,F,0.35101388888888885,1440,6,0.1865881410000001
77,35,B_exp3,0.756755575,0.810454545,58.87,138,640f3af66933ce127cd5cce9,5,First,29,22,F,0.35101388888888885,1440,6,0.05369897000000001
77,21,C_exp3,0.236915249,0.559090909,83.77,83,640f3af66933ce127cd5cce9,6,First,29,22,F,0.35101388888888885,1440,6,0.32217566000000003
77,44,A_exp3,0.959614665,0.972045455,23.65,173,640f3af66933ce127cd5cce9,7,First,29,22,F,0.35101388888888885,1440,6,0.012430789999999914
77,6,A_exp3,0.069308404,0.289772727,96.58,21,640f3af66933ce127cd5cce9,8,First,29,22,F,0.35101388888888885,1440,6,0.22046432300000002
77,20,A_exp3,0.522611152,0.541136364,85.04,77,640f3af66933ce127cd5cce9,9,First,29,22,F,0.35101388888888885,1440,6,0.018525212000000013
