instructions,q1_slider_DC_2.response,consent_loop.thisN,q3_slider_DC.response,expName,warning.started,pre_beliefs.stopped,slider_emotion.response,study_id,key_resp_6.keys,__session,__participant,images_typical,__experimentName,final.started,intro.started,final.stopped,debrief.started,key_resp_6.rt,key_resp_4.rt,trials.thisN,trials.thisTrialN,pre_beliefs.started,practice.started,consent.stopped,trial_w_slider.started,consent.started,key_resp_exp.rt,begin_experiment.stopped,literacy.stopped,literacy.started,q2_slider_DC.response,q4_slider.response,instructions.started,ready_to_go.started,key_resp_exp_post.keys,consent_loop.thisTrialN,consent_item,slide_counter,date,trials.thisRepN,unique_item_no_T,practice_key_resp.rt,slider_emotion.rt,q3_slider.response,slider_belief_post.response,OS,gender_slider.response,plots_with_labels_T,trials.thisIndex,demographics.started,q4_slider_DC.response,q2_slider_DC_2.response,consent_key.keys,key_resp_4.duration,consent_key.rt,DC_page_2.stopped,q1_slider_DC_3.response,DC_page_3.stopped,instructions_loop.thisIndex,instructions_loop.thisRepN,slider.response,consent_key.duration,key_resp_4.keys,debrief.stopped,DC_page_1.stopped,colour,q2_slider.response,consent_loop.thisIndex,post_beliefs.started,practice.stopped,instructions_loop.ran,trials.ran,instructions_loop.thisN,post_beliefs.stopped,q2_slider_DC_3.response,trial_w_slider.stopped,DC_page_3.started,begin_experiment.started,DC_page_2.started,slider_belief.rt,DC_page_1.started,key_resp_exp.keys,q4_slider_DC_2.response,slider_belief.response,warning.stopped,ready_to_go.stopped,instructions.stopped,instructions_loop.thisTrialN,q3_slider_DC_2.response,q1_slider_DC.response,q3_slider_DC_3.response,psychopyVersion,consent_loop.thisRepN,consent_count,q4_slider_DC_3.response,age_textbox.text,instructions_text,q5_slider.response,key_resp_exp_post.rt,__datetime,frameRate,practice_key_resp.keys,practice_slider_2.rt,slider.rt,q1_slider.response,demographics.stopped,practice_slider_2.response,consent_loop.ran,intro.stopped,slider_belief_post.rt,session,total_correct,passed,participant
﻿,NA,NA,1,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.24090000000037,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,3,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,4,NA,NA,NA,98.60640000000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.05740000000037,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,112.10630000000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,98.60669999999924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2024.1.1,NA,NA,1,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.10819999999926,NA,NA,NA,NA,Slide 1 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.18980000000074,0,NA,NA,NA,2024.1.1,NA,NA,NA,NA,This experiment is about your beliefs about relatedness as depicted by scatterplots.,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.20440000000038,NA,NA,NA,NA,Slide 2 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.48990000000036,1,NA,NA,NA,2024.1.1,NA,NA,NA,NA,"First, you will be asked to read a statement and indicate how emotional you find it, and how strongly you believe the variables it describes to be related.",NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.497,NA,NA,NA,NA,Slide 3 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.106,2,NA,NA,NA,2024.1.1,NA,NA,NA,NA,"Then, you will be shown a series of 45 scatterplots. Scatterplots depict the level of relatedness between variables.",NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.112,NA,NA,NA,NA,Slide 4 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.75619999999924,3,NA,NA,NA,2024.1.1,NA,NA,NA,NA,This relatedness is often measured on a scale between 0 (not related at all) and 1 (extremely related).,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.75640000000035,NA,NA,NA,NA,Slide 5 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.13940000000036,4,NA,NA,NA,2024.1.1,NA,NA,NA,NA,The graphs you will see have been taken from a well-known British news source. The identity of this source has been obscured at their request.,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.1455999999996,NA,NA,NA,NA,Slide 6 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.30609999999962,5,NA,NA,NA,2024.1.1,NA,NA,NA,NA,"Once you have rated each scatterplot, press the spacebar to move onto the next trial.",NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.30630000000076,NA,NA,NA,NA,Slide 7 of 7,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.70609999999965,6,NA,NA,NA,2024.1.1,NA,NA,NA,NA,You will now have the chance to practice rating graphs using the sliding scale.,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.70669999999927,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.406,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,space,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,0.8661999999992531,NA,NA,NA,NA,151.55719999999923,NA,NA,NA,NA,159.43990000000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,4.958799999998888,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.53949999999998,NA,NA,NA,NA,NA,NA,NA,156.5399000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,space,3.4115999999996234,NA,NA,NA,0.1573731805621575,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,181.6395,2,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,159.44,NA,NA,NA,NA,1.883199999999249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,14.412099999999612,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2797000000011,NA,space,NA,2,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿Please look at the following plot and use the slider to estimate the level of relatedness.,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,30_spice_T_hi.png,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,17.8134000000004,0,0,NA,NA,NA,181.6425999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,0,30T,NA,NA,NA,NA,Win32,NA,all_plots/30_spice_T_hi.png,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5965233569369617,NA,space,NA,NA,black,NA,NA,NA,NA,NA,1,NA,NA,NA,202.0234000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,19.048799999998863,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿Please look at the following plot and use the slider to estimate the level of relatedness.,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,25_spice_T_hi.png,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,11.177099999999626,1,1,NA,NA,NA,202.02369999999928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,0,25T,NA,NA,NA,NA,Win32,NA,all_plots/25_spice_T_hi.png,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6103913101676584,NA,space,NA,NA,black,NA,NA,NA,NA,NA,1,NA,NA,NA,215.7560999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,10.392800000000731,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
