Number,Statements,Topic_Emotionality,Strength_of_Correlation,Notes
45,"As access to clean water improves, the incidence of waterborne diseases decreases.",4,7,Another tricky emotion score
46,Increased participation in team sports is associated with better social skills in children.,5,3,
47,Higher alcohol taxes are linked to lower rates of alcohol-related harm.,3,5,
48,"As the number of trees in an area increases, air quality tends to improve.",6,4,
49,Greater use of digital devices before bedtime is associated with poorer sleep quality.,3,6,
50,Higher levels of empathy are linked to stronger interpersonal relationships.,6,6,
51,"As community safety improves, property values tend to increase.",5,5,
52,Increased intake of saturated fats is associated with higher cholesterol levels.,2,6,
53,Greater frequency of meditation is linked to reduced stress levels.,5,6,
54,"As public spending on education increases, literacy rates tend to improve.",5,6,
55,Higher exposure to air conditioning is associated with increased respiratory issues.,2,1,Never heard of this one!
56,Increased levels of physical fitness are linked to lower mortality rates.,5,6,
57,"As soil quality degrades, agricultural productivity tends to decrease.",2,6,
58,Greater consumption of red meat is associated with an increased risk of heart disease.,2,4,
59,Higher levels of civic engagement are linked to a stronger sense of community.,4,6,
60,"As the amount of green space increases, urban temperatures tend to decrease.",6,6,
61,Increased exposure to violent media is associated with higher aggression levels.,2,4,
62,Greater intake of calcium is linked to improved bone health.,5,5,
63,"As diversity in the workplace increases, innovation and creativity may improve.",5,3,
64,Higher sugar consumption is associated with an increased risk of dental cavities.,3,7,
65,Increased mindfulness practice is linked to lower anxiety levels.,6,5,
66,"As the rate of deforestation increases, biodiversity tends to decrease.",2,7,
67,Greater levels of trust in society are associated with lower crime rates.,4,5,
68,Higher frequency of family meals is linked to better eating habits in children.,4,3,
69,Increased physical proximity to parks and recreational areas is associated with higher levels of physical activity.,5,4,
70,"As participation in community arts programs increases, local cultural engagement tends to rise.",5,4,Not sure what this means
71,Greater daily water intake is linked to enhanced skin hydration and appearance.,5,4,
72,Higher intake of vitamin C is associated with a reduced duration of the common cold.,5,5,
73,"As the use of public transit increases, traffic congestion tends to decrease.",5,5,
74,Increased levels of financial literacy are linked to better personal finance management.,6,7,
75,Higher consumption of spicy foods is associated with a lower risk of certain types of cancer.,5,2,Not heard of this one
76,"As indoor air quality improves, asthma symptoms tend to decrease.",5,5,
77,Greater social connectivity is linked to lower risks of dementia in older adults.,4,4,
78,Higher levels of bilingual education are associated with improved cognitive flexibility.,6,3,
79,Increased frequency of laughter is linked to improved immune system function.,7,2,Doesn't sound too plausible...
80,"As the amount of recyclable waste increases, the environmental impact of waste decreases.",5,3,"Proportion of waste that is recyclable, or total recyclable waste?"
81,Greater exposure to diverse cultures is associated with more open-minded attitudes.,6,3,
82,Higher attendance at preventive health screenings is linked to earlier detection of diseases.,4,6,
83,"As pet ownership increases, levels of stress and loneliness tend to decrease.",7,3,
84,Increased consumption of whole grains is associated with lower risks of heart disease.,5,5,Don't know
85,Higher engagement with science and technology education is linked to increased innovation in societies.,5,4,
86,"As awareness of mental health issues increases, stigma tends to decrease.",3,6,
87,Greater time spent on hobbies is associated with higher levels of life satisfaction.,6,6,
88,Higher levels of community greenery are linked to reduced urban heat island effect.,7,5,
89,"As exposure to natural light during the day increases, sleep quality tends to improve.",5,4,As above
90,Increased use of energy-efficient appliances is associated with lower electricity bills.,5,6,
91,Greater adherence to a Mediterranean diet is linked to a lower risk of neurodegenerative diseases.,4,2,
92,"As pedestrian-friendly infrastructure improves, urban walkability tends to increase.",6,7,"""As walkability increases, walkability increases""?"
93,Higher consumption of nuts and seeds is associated with reduced risk of cardiovascular diseases.,5,2,
94,Increased engagement in volunteer work is linked to a greater sense of purpose and well-being.,7,7,
95,"As the availability of affordable housing increases, homelessness tends to decrease.",5,7,
96,Greater regularity in sleep patterns is associated with improved mental health.,5,5,
97,Higher intake of probiotics is linked to better gut health.,5,4,
98,"As cultural preservation efforts increase, community identity and cohesion tend to strengthen.",5,3,Not sure what this means
99,Increased practice of gratitude is associated with higher levels of happiness and optimism.,7,5,Not sure what practice of gratitude is exactly
100,Higher exposure to interactive educational activities is linked to enhanced learning outcomes for children.,6,4,
